timestamp;bx;by;bz;ax;ay;az;gx;gy;gz;pressure;x;y;floor;poi_type;description;magnetic_magnitude;step_count;heading
1751659067657;11.93;-9.08;-49.39;;;;;;;;42.00;380.00;1;;;51.61;0;322.7
1751659067770;11.93;-9.08;-49.39;-0.55;1.90;10.14;-0.03;-0.02;0.01;;42.00;380.00;1;;;51.61;0;322.7
1751659067867;11.63;-8.91;-48.79;-0.55;1.90;10.14;-0.03;-0.02;0.01;;42.00;380.00;1;;;50.94;0;322.5
1751659067972;11.63;-8.91;-48.79;-0.51;1.94;10.05;-0.02;-0.02;-0.08;;42.00;380.00;1;;;50.94;0;322.5
1751659068070;11.46;-8.91;-48.47;-0.51;1.94;10.05;-0.02;-0.02;-0.08;;42.00;380.00;1;;;50.59;0;322.1
1751659068170;11.46;-8.91;-48.47;-0.33;1.81;9.90;0.07;-0.05;-0.05;;42.00;380.00;1;;;50.59;0;322.1
1751659068273;11.34;-9.09;-48.45;-0.33;1.81;9.90;0.07;-0.05;-0.05;;42.00;380.00;1;;;50.58;0;321.3
1751659068371;11.34;-9.09;-48.45;-0.36;1.90;9.90;0.03;-0.04;-0.08;;42.00;380.00;1;;;50.58;0;321.3
1751659068445;11.27;-9.28;-48.38;-0.36;1.90;9.90;0.03;-0.04;-0.08;;42.00;380.00;1;;;50.53;0;320.5
1751659068570;11.27;-9.28;-48.38;-0.38;1.90;9.98;-0.01;0.04;-0.03;;42.00;380.00;1;;;50.53;0;320.5
1751659068671;11.14;-9.38;-48.23;-0.38;1.90;9.98;-0.01;0.04;-0.03;;42.00;380.00;1;;;50.37;0;319.9
1751659068772;11.14;-9.38;-48.23;-0.41;1.90;9.99;0.04;-0.03;-0.02;;42.00;380.00;1;;;50.37;0;319.9
1751659068871;11.08;-9.41;-48.15;-0.41;1.90;9.99;0.04;-0.03;-0.02;;42.00;380.00;1;;;50.30;0;319.7
1751659068945;11.08;-9.41;-48.15;-0.40;1.97;9.94;0.01;-0.03;0.00;;42.00;380.00;1;;;50.30;0;319.7
1751659069046;11.10;-9.45;-48.17;-0.40;1.97;9.94;0.01;-0.03;0.00;;42.00;380.00;1;;;50.33;0;319.6
1751659069171;11.10;-9.45;-48.17;-0.37;1.97;9.96;-0.03;0.03;-0.05;;42.00;380.00;1;;;50.33;0;319.6
1751659069273;11.01;-9.53;-48.04;-0.37;1.97;9.96;-0.03;0.03;-0.05;;42.00;380.00;1;;;50.19;0;319.1
1751659069378;11.01;-9.53;-48.04;-0.39;2.00;9.87;0.01;-0.03;-0.06;;42.00;380.00;1;;;50.19;0;319.1
1751659069474;10.91;-9.60;-48.04;-0.39;2.00;9.87;0.01;-0.03;-0.06;;42.00;380.00;1;;;50.19;0;318.7
1751659069574;10.91;-9.60;-48.04;-0.34;1.96;10.00;-0.01;-0.06;-0.02;;42.00;380.00;1;;;50.19;0;318.7
1751659069671;10.71;-9.60;-48.08;-0.34;1.96;10.00;-0.01;-0.06;-0.02;;42.00;380.00;1;;;50.18;0;318.1
1751659069777;10.71;-9.60;-48.08;-0.21;1.95;10.01;0.02;-0.05;-0.04;;42.00;380.00;1;;;50.18;0;318.1
1751659069875;10.52;-9.56;-48.04;-0.21;1.95;10.01;0.02;-0.05;-0.04;;42.00;380.00;1;;;50.10;0;317.7
1751659069976;10.52;-9.56;-48.04;-0.24;1.95;9.91;-0.02;-0.01;-0.01;;42.00;380.00;1;;;50.10;0;317.7
1751659070071;10.39;-9.43;-48.06;-0.24;1.95;9.91;-0.02;-0.01;-0.01;;42.00;380.00;1;;;50.06;0;317.8
1751659070145;10.39;-9.43;-48.06;-0.09;1.96;9.96;-0.00;-0.02;0.00;;42.00;380.00;1;;;50.06;0;317.8
1751659070273;10.26;-9.28;-48.08;-0.09;1.96;9.96;-0.00;-0.02;0.00;;42.00;380.00;1;;;50.03;0;317.9
1751659070374;10.26;-9.28;-48.08;-0.18;1.97;9.96;-0.01;0.02;-0.02;;42.00;380.00;1;;;50.03;0;317.9
